Entity,Code,Year,Period life expectancy at birth
Brazil,BRA,2014,74.8225
Brazil,BRA,2015,75.1064
Brazil,BRA,2016,75.0805
Brazil,BRA,2017,75.3835
Brazil,BRA,2018,75.6335
Brazil,BRA,2019,75.8093
Brazil,BRA,2020,74.5058
Brazil,BRA,2021,73.0377
Brazil,BRA,2022,74.8719
Brazil,BRA,2023,75.8482
Chile,CHL,1990,73.6752
Chile,CHL,1991,74.0824
Chile,CHL,1992,74.3673
Chile,CHL,1993,74.6793
Chile,CHL,1994,74.973
Chile,CHL,1995,75.2984
Chile,CHL,1996,75.5548
Chile,CHL,1997,75.8262
Chile,CHL,1998,76.3241
Chile,CHL,1999,76.7382
Chile,CHL,2000,77.1276
Chile,CHL,2001,77.5798
Chile,CHL,2002,77.8397
Chile,CHL,2003,77.8841
Chile,CHL,2004,78.2765
Chile,CHL,2005,78.4589
Chile,CHL,2006,78.5328
Chile,CHL,2007,78.6519
Chile,CHL,2008,78.7518
Chile,CHL,2009,78.8901
Chile,CHL,2010,79.0954
Chile,CHL,2011,79.2357
Chile,CHL,2012,79.2211
Chile,CHL,2013,79.5509
Chile,CHL,2014,79.7137
Chile,CHL,2015,80.0079
Chile,CHL,2016,80.2949
Chile,CHL,2017,80.6096
Chile,CHL,2018,80.5594
Chile,CHL,2019,80.3243
Chile,CHL,2020,79.3488
Chile,CHL,2021,78.8764
Chile,CHL,2022,79.1762
Chile,CHL,2023,81.1667
China,CHN,1990,68.1547
China,CHN,1991,68.6099
China,CHN,1992,69.0587
China,CHN,1993,69.4924
China,CHN,1994,69.8355
China,CHN,1995,70.3631
China,CHN,1996,70.8225
China,CHN,1997,71.2271
China,CHN,1998,71.6014
China,CHN,1999,71.9519
China,CHN,2000,72.2885
China,CHN,2001,72.6755
China,CHN,2002,73.0339
China,CHN,2003,73.3853
China,CHN,2004,73.7274
China,CHN,2005,74.085
China,CHN,2006,74.4037
China,CHN,2007,74.7886
China,CHN,2008,74.8333
China,CHN,2009,75.3174
China,CHN,2010,75.6679
China,CHN,2011,75.8891
China,CHN,2012,76.2
China,CHN,2013,76.4521
China,CHN,2014,76.7143
China,CHN,2015,76.9755
China,CHN,2016,77.214
China,CHN,2017,77.2353
China,CHN,2018,77.709
China,CHN,2019,77.9396
China,CHN,2020,78.0191
China,CHN,2021,78.1166
China,CHN,2022,78.2021
China,CHN,2023,77.9529
Germany,DEU,1990,75.3414
Germany,DEU,1991,75.5597
Germany,DEU,1992,76.0035
Germany,DEU,1993,76.0803
Germany,DEU,1994,76.3799
Germany,DEU,1995,76.5515
Germany,DEU,1996,76.7833
Germany,DEU,1997,77.2182
Germany,DEU,1998,77.5759
Germany,DEU,1999,77.7977
Germany,DEU,2000,78.0563
Germany,DEU,2001,78.4023
Germany,DEU,2002,78.4749
Germany,DEU,2003,78.5361
Germany,DEU,2004,79.1186
Germany,DEU,2005,79.254
Germany,DEU,2006,79.5862
Germany,DEU,2007,79.7306
Germany,DEU,2008,79.8161
Germany,DEU,2009,79.9151
Germany,DEU,2010,80.0814
Germany,DEU,2011,80.3549
Germany,DEU,2012,80.5017
Germany,DEU,2013,80.454
Germany,DEU,2014,80.9056
Germany,DEU,2015,80.5658
Germany,DEU,2016,80.8371
Germany,DEU,2017,80.9371
Germany,DEU,2018,80.8747
Germany,DEU,2019,81.1893
Germany,DEU,2020,81.0036
Germany,DEU,2021,81.1059
Germany,DEU,2022,80.5796
Germany,DEU,2023,81.3777
Japan,JPN,1990,78.9928
Japan,JPN,1991,79.262
Japan,JPN,1992,79.303
Japan,JPN,1993,79.4461
Japan,JPN,1994,79.8366
Japan,JPN,1995,79.6837
Japan,JPN,1996,80.3627
Japan,JPN,1997,80.5836
Japan,JPN,1998,80.6487
Japan,JPN,1999,80.6129
Japan,JPN,2000,81.1788
Japan,JPN,2001,81.5101
Japan,JPN,2002,81.7952
Japan,JPN,2003,81.854
Japan,JPN,2004,82.1275
Japan,JPN,2005,82.0073
Japan,JPN,2006,82.3699
Japan,JPN,2007,82.5488
Japan,JPN,2008,82.6332
Japan,JPN,2009,82.9699
Japan,JPN,2010,82.916
Japan,JPN,2011,82.6705
Japan,JPN,2012,83.1676
Japan,JPN,2013,83.4018
Japan,JPN,2014,83.6434
Japan,JPN,2015,83.8832
Japan,JPN,2016,84.0568
Japan,JPN,2017,84.1891
Japan,JPN,2018,84.289
Japan,JPN,2019,84.4177
Japan,JPN,2020,84.6703
Japan,JPN,2021,84.55
Japan,JPN,2022,84.0541
Japan,JPN,2023,84.7123
Mexico,MEX,1990,69.0342
Mexico,MEX,1991,69.3683
Mexico,MEX,1992,69.6633
Mexico,MEX,1993,69.9607
Mexico,MEX,1994,70.3017
Mexico,MEX,1995,70.703
Mexico,MEX,1996,71.0876
Mexico,MEX,1997,71.4723
Mexico,MEX,1998,71.7924
Mexico,MEX,1999,72.2034
Mexico,MEX,2000,72.5621
Mexico,MEX,2001,72.9118
Mexico,MEX,2002,73.1056
Mexico,MEX,2003,73.308
Mexico,MEX,2004,73.4324
Mexico,MEX,2005,73.6267
Mexico,MEX,2006,73.7457
Mexico,MEX,2007,73.7955
Mexico,MEX,2008,73.6949
Mexico,MEX,2009,73.6281
Mexico,MEX,2010,73.7181
Mexico,MEX,2011,73.9209
Mexico,MEX,2012,74.1278
Mexico,MEX,2013,74.289
Mexico,MEX,2014,74.4044
Mexico,MEX,2015,74.4315
Mexico,MEX,2016,74.3763
Mexico,MEX,2017,74.2609
Mexico,MEX,2018,74.3009
Mexico,MEX,2019,74.5302
Mexico,MEX,2020,70.4492
Mexico,MEX,2021,69.7499
Mexico,MEX,2022,73.9731
Mexico,MEX,2023,75.069
Portugal,PRT,1990,74.3043
Portugal,PRT,1991,74.2406
Portugal,PRT,1992,74.8705
Portugal,PRT,1993,74.7615
Portugal,PRT,1994,75.7296
Portugal,PRT,1995,75.5498
Portugal,PRT,1996,75.4758
Portugal,PRT,1997,75.9221
Portugal,PRT,1998,76.1161
Portugal,PRT,1999,76.3218
Portugal,PRT,2000,76.8301
Portugal,PRT,2001,77.1517
Portugal,PRT,2002,77.3698
Portugal,PRT,2003,77.5828
Portugal,PRT,2004,78.4274
Portugal,PRT,2005,78.3169
Portugal,PRT,2006,79.0894
Portugal,PRT,2007,79.3087
Portugal,PRT,2008,79.6026
Portugal,PRT,2009,79.8295
Portugal,PRT,2010,80.1149
Portugal,PRT,2011,80.5822
Portugal,PRT,2012,80.5549
Portugal,PRT,2013,80.9029
Portugal,PRT,2014,81.3135
Portugal,PRT,2015,81.3213
Portugal,PRT,2016,81.3636
Portugal,PRT,2017,81.6605
Portugal,PRT,2018,81.5915
Portugal,PRT,2019,81.9587
Portugal,PRT,2020,81.3664
Portugal,PRT,2021,81.3978
Portugal,PRT,2022,81.1936
Portugal,PRT,2023,82.3599
Russia,RUS,1990,69.2794
Russia,RUS,1991,68.997
Russia,RUS,1992,67.8426
Russia,RUS,1993,65.0389
Russia,RUS,1994,63.8225
Russia,RUS,1995,63.9945
Russia,RUS,1996,65.4488
Russia,RUS,1997,66.5938
Russia,RUS,1998,66.916
Russia,RUS,1999,65.5954
Russia,RUS,2000,64.9982
Russia,RUS,2001,65.0151
Russia,RUS,2002,64.73
Russia,RUS,2003,64.715
Russia,RUS,2004,65.1489
Russia,RUS,2005,65.2185
Russia,RUS,2006,66.5458
Russia,RUS,2007,67.469
Russia,RUS,2008,67.8621
Russia,RUS,2009,68.6571
Russia,RUS,2010,68.1526
Russia,RUS,2011,69.7255
Russia,RUS,2012,70.1165
Russia,RUS,2013,70.6403
Russia,RUS,2014,70.7978
Russia,RUS,2015,71.3449
Russia,RUS,2016,71.9101
Russia,RUS,2017,72.845
Russia,RUS,2018,72.9363
Russia,RUS,2019,73.0658
Russia,RUS,2020,71.1705
Russia,RUS,2021,69.8066
Russia,RUS,2022,72.5174
Russia,RUS,2023,73.1541
South Africa,ZAF,1990,62.9422
South Africa,ZAF,1991,62.9827
South Africa,ZAF,1992,62.839
South Africa,ZAF,1993,62.6183
South Africa,ZAF,1994,62.0693
South Africa,ZAF,1995,61.6033
South Africa,ZAF,1996,61.0786
South Africa,ZAF,1997,60.538
South Africa,ZAF,1998,59.9124
South Africa,ZAF,1999,59.1895
South Africa,ZAF,2000,58.3678
South Africa,ZAF,2001,57.1607
South Africa,ZAF,2002,55.5795
South Africa,ZAF,2003,54.2451
South Africa,ZAF,2004,53.963
South Africa,ZAF,2005,53.9142
South Africa,ZAF,2006,54.2204
South Africa,ZAF,2007,54.9477
South Africa,ZAF,2008,55.9817
South Africa,ZAF,2009,57.413
South Africa,ZAF,2010,58.8863
South Africa,ZAF,2011,60.6024
South Africa,ZAF,2012,61.7366
South Africa,ZAF,2013,62.3883
South Africa,ZAF,2014,63.1845
South Africa,ZAF,2015,64.0532
South Africa,ZAF,2016,64.7495
South Africa,ZAF,2017,65.4222
South Africa,ZAF,2018,65.726
South Africa,ZAF,2019,66.0711
South Africa,ZAF,2020,65.1502
South Africa,ZAF,2021,62.0099
South Africa,ZAF,2022,65.4536
South Africa,ZAF,2023,66.1387
South Korea,KOR,1990,70.9936
South Korea,KOR,1991,71.4024
South Korea,KOR,1992,72.1755
South Korea,KOR,1993,72.7453
South Korea,KOR,1994,72.889
South Korea,KOR,1995,73.3752
South Korea,KOR,1996,74.0207
South Korea,KOR,1997,74.5313
South Korea,KOR,1998,75.035
South Korea,KOR,1999,75.6173
South Korea,KOR,2000,76.2351
South Korea,KOR,2001,76.9195
South Korea,KOR,2002,77.2304
South Korea,KOR,2003,77.4974
South Korea,KOR,2004,77.9571
South Korea,KOR,2005,78.4486
South Korea,KOR,2006,79.0348
South Korea,KOR,2007,79.4323
South Korea,KOR,2008,79.9956
South Korea,KOR,2009,80.5504
South Korea,KOR,2010,80.7172
South Korea,KOR,2011,81.1685
South Korea,KOR,2012,81.3075
South Korea,KOR,2013,81.8356
South Korea,KOR,2014,82.3641
South Korea,KOR,2015,82.5404
South Korea,KOR,2016,82.9204
South Korea,KOR,2017,83.2784
South Korea,KOR,2018,83.34
South Korea,KOR,2019,83.6846
South Korea,KOR,2020,83.6752
South Korea,KOR,2021,83.8517
South Korea,KOR,2022,82.727
South Korea,KOR,2023,84.3288
Spain,ESP,1990,77.0004
Spain,ESP,1991,77.1285
Spain,ESP,1992,77.5888
Spain,ESP,1993,77.728
Spain,ESP,1994,78.1141
Spain,ESP,1995,78.2002
Spain,ESP,1996,78.3389
Spain,ESP,1997,78.8504
Spain,ESP,1998,78.9395
Spain,ESP,1999,78.9437
Spain,ESP,2000,79.4123
Spain,ESP,2001,79.7387
Spain,ESP,2002,79.8177
Spain,ESP,2003,79.7482
Spain,ESP,2004,80.3283
Spain,ESP,2005,80.3196
Spain,ESP,2006,80.9627
Spain,ESP,2007,80.9696
Spain,ESP,2008,81.2782
Spain,ESP,2009,81.627
Spain,ESP,2010,82.0063
Spain,ESP,2011,82.1804
Spain,ESP,2012,82.1905
Spain,ESP,2013,82.6943
Spain,ESP,2014,82.8283
Spain,ESP,2015,82.6109
Spain,ESP,2016,82.9999
Spain,ESP,2017,82.9862
Spain,ESP,2018,83.0956
Spain,ESP,2019,83.4794
Spain,ESP,2020,82.2413
Spain,ESP,2021,82.9508
Spain,ESP,2022,82.3661
Spain,ESP,2023,83.6703
United States,USA,1990,75.3743
United States,USA,1991,75.5243
United States,USA,1992,75.779
United States,USA,1993,75.5677
United States,USA,1994,75.7381
United States,USA,1995,75.8522
United States,USA,1996,76.1749
United States,USA,1997,76.4981
United States,USA,1998,76.6592
United States,USA,1999,76.6691
United States,USA,2000,76.8058
United States,USA,2001,76.9194
United States,USA,2002,76.9883
United States,USA,2003,77.1369
United States,USA,2004,77.535
United States,USA,2005,77.5264
United States,USA,2006,77.7976
United States,USA,2007,78.0471
United States,USA,2008,78.1273
United States,USA,2009,78.4758
United States,USA,2010,78.6681
United States,USA,2011,78.7023
United States,USA,2012,78.8169
United States,USA,2013,78.8175
United States,USA,2014,78.8785
United States,USA,2015,78.7219
United States,USA,2016,78.686
United States,USA,2017,78.6483
United States,USA,2018,78.7997
United States,USA,2019,78.916
United States,USA,2020,77.0115
United States,USA,2021,76.3836
United States,USA,2022,77.9789
United States,USA,2023,79.3043
Uruguay,URY,1990,72.9937
Uruguay,URY,1991,73.1982
Uruguay,URY,1992,73.1853
Uruguay,URY,1993,73.1466
Uruguay,URY,1994,73.1616
Uruguay,URY,1995,73.4927
Uruguay,URY,1996,73.8121
Uruguay,URY,1997,73.9199
Uruguay,URY,1998,74.0293
Uruguay,URY,1999,74.2926
Uruguay,URY,2000,74.6929
Uruguay,URY,2001,74.9865
Uruguay,URY,2002,74.9788
Uruguay,URY,2003,75.0858
Uruguay,URY,2004,75.3194
Uruguay,URY,2005,75.8286
Uruguay,URY,2006,75.8884
Uruguay,URY,2007,76.1502
Uruguay,URY,2008,76.2746
Uruguay,URY,2009,76.67
Uruguay,URY,2010,76.6911
Uruguay,URY,2011,76.6141
Uruguay,URY,2012,76.6914
Uruguay,URY,2013,76.9531
Uruguay,URY,2014,77.1941
Uruguay,URY,2015,77.2847
Uruguay,URY,2016,77.3511
Uruguay,URY,2017,77.618
Uruguay,URY,2018,77.5273
Uruguay,URY,2019,77.5028
Uruguay,URY,2020,78.3811
Uruguay,URY,2021,75.4345
Uruguay,URY,2022,76.4682
Uruguay,URY,2023,78.1385
